product_name,brand_name,images,price,product_rating,no. of ratings
,,[],,,
,,[],,,
"Samsung Galaxy S23 5G (Phantom Black, 8GB, 256GB Storage)",Visit the Samsung Store,"['https://m.media-amazon.com/images/I/41Ff8COEHiL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51gSRrS3+FL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/41Ls9mIqnYL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41iynQ0xHvL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31IPzBfqZkL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/517jrlX2oxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51hylqVzyfL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,Previous page,
"Samsung Galaxy M32 Prime Edition (Black, 4GB RAM, 64GB)",Visit the Samsung Store,"['https://m.media-amazon.com/images/I/41i9KXVVaUL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51gr5dknfmL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/51T1S3TWjlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41LhjXvV1-L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41rbQ8-CTkL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/312y6iUSnPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31egEJehYKL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.1 out of 5 stars,"57,244 ratings"
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Brand: Redmi,"['https://m.media-amazon.com/images/I/41i7LM0pGwL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51Jmh-ME0xL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/31HFmn2xQHL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41tHOrB8lDL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/518mcnO29GL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.1 out of 5 stars,"317,792 ratings"
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 | 5000 mAh Battery",Visit the Samsung Store,"['https://m.media-amazon.com/images/I/41IcuNkyrdL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/61lGuS-k-CL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/516ctxZmwlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51UJNO7r0ZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21GzVc8GXeL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21GgRHJ8TbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/11Ssm6Npo6L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.0 out of 5 stars,"1,096 ratings"
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",Brand: Redmi,"['https://m.media-amazon.com/images/I/41Wd9J6nfpL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51tYdFnxHGL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/51jIj3uBU3L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31sIQG+zgPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21Fqa7TqYeL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31t0EgowvOL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/518mcnO29GL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.0 out of 5 stars,"9,918 ratings"
,,[],,,
,,[],,,
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 | 5000 mAh Battery",Visit the Samsung Store,"['https://m.media-amazon.com/images/I/41kg-+XWoxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/61lGuS-k-CL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/516ctxZmwlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51U-S2wDuFL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21liIZy9pLL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21ViBcW8pIL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/11BpOl2gLrL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.0 out of 5 stars,"1,096 ratings"
